ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,label
0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,149.038123,2.832413,0.0,0.0,bruteforce
167772674,134744072,68.0,Set,Not set,0.0,0.0,0.0,64.0,UDP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,"59266,53",149.564288,0.526165,0.0,0.0,bruteforce
0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,149.572096,0.007808,0.0,0.0,bruteforce
0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,149.573072,0.000976,0.0,0.0,bruteforce
0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,150.854857,1.281785,0.0,0.0,bruteforce
167772674,167772687,120.0,Set,Not set,0.0,0.0,0.0,64.0,TCP,9728.0,1431.0,2003.0,68.0,0.0,0.0,24,0.0,0.0,0.0,0.0,0,154.566781,3.711924,10.147654,9.97295,bruteforce
167772687,167772674,104.0,Set,Not set,0.0,0.0,0.0,64.0,TCP,64128.0,2071.0,1431.0,52.0,0.0,0.0,24,0.002928,0.0,0.0,0.0,0,154.569709,0.002928,10.150582,0.002928,bruteforce
167772687,167772674,52.0,Set,Not set,0.0,0.0,0.0,64.0,TCP,64128.0,2071.0,1483.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0,154.569709,0.0,10.150582,0.0,bruteforce
167772674,167772687,52.0,Set,Not set,0.0,0.0,0.0,64.0,TCP,9728.0,1483.0,2071.0,0.0,0.0,0.0,16,0.001955,0.0,0.0,0.0,0,154.571664,0.001955,10.152537,0.001955,bruteforce
167772674,167772687,52.0,Set,Not set,0.0,0.0,0.0,64.0,TCP,9728.0,1483.0,2071.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0,154.572638,0.000974,10.153511,0.000974,bruteforce
